city_ascii;lat;lng;iso2
Lu'an;31.7542;116.5078;CN
Yichun;27.8041;114.383;CN
Taizhou;28.6583;121.4221;CN
Liaocheng;36.45;115.9833;CN
Qujing;25.5102;103.8029;CN
Xiangyang;32.0654;112.1531;CN
Surat;21.17;72.83;IN
Baghdad;33.35;44.4167;IQ
Qingdao;36.1167;120.4;CN
Singapore;1.3;103.8;SG
Dallas;32.7936;-96.7662;US
Changde;29.0397;111.6839;CN
Dazhou;31.2152;107.4947;CN
Suzhou;33.6333;116.9683;CN
Philadelphia;40.0077;-75.1339;US
Jieyang;23.5533;116.3649;CN
Nairobi;-1.2864;36.8172;KE
Nangandao;35.2992;113.8851;CN
Ankara;39.93;32.85;TR
Tai'an;36.2001;117.0809;CN
Yulin;22.6293;110.1507;CN
Dezhou;37.4513;116.3105;CN
Houston;29.7863;-95.3889;US
Atlanta;33.7627;-84.4224;US
Rangoon;16.8;96.15;MM
Toronto;43.7417;-79.3733;CA
Suihua;46.6384;126.9808;CN
Washington;38.9047;-77.0163;US
Qiqihar;47.3398;123.9512;CN
Jinhua;29.1046;119.6494;CN
Saint Petersburg;59.95;30.3167;RU
Shantou;23.3735;116.6941;CN
Sydney;-33.865;151.2094;AU
Weinan;34.4996;109.4684;CN
Suqian;33.9331;118.2831;CN
Guadalajara;20.6767;-103.3475;MX
Suzhou;31.304;120.6164;CN
Fuzhou;26.0769;119.2917;CN
Zhaotong;27.3328;103.7144;CN
Pudong;31.2231;121.5397;CN
Yongzhou;26.4515;111.5953;CN
Belo Horizonte;-19.8917;-43.9478;BR
Zhangzhou;24.5093;117.6612;CN
Bozhou;33.8626;115.7742;CN
Melbourne;-37.8136;144.9631;AU
Nanchang;28.6842;115.8872;CN
Xianyang;34.35;108.7167;CN
Taizhou;32.4831;119.9;CN
Surabaya;-7.2458;112.7378;ID
Abidjan;5.3364;-4.0267;CI
Ji'an;27.1172;114.9793;CN
Mianyang;31.4669;104.7385;CN
Shaoxing;30;120.5833;CN
Alexandria;31.2;29.9167;EG
Yuncheng;35.0304;110.998;CN
Pingdingshan;33.735;113.2999;CN
Huai'an;33.5;119.1331;CN
Xinpu;34.5906;119.1801;CN
Guilin;25.2667;110.2833;CN
Huaihua;27.5494;109.9592;CN
Jiujiang;29.7048;116.0021;CN
Anqing;30.5;117.0333;CN
Boston;42.3188;-71.0846;US
Huanglongsi;34.7936;114.3403;CN
Xiaoganzhan;30.9273;113.911;CN
Changzhou;31.8122;119.9692;CN
Barcelona;41.3825;2.1769;ES
Chenzhou;25.7989;113.0267;CN
Wuxi;31.5667;120.2833;CN
Zibo;36.7831;118.0497;CN
Jiaxing;30.7522;120.75;CN
Dalian;38.9131;121.61;CN
Harbin;45.75;126.6333;CN
Yangzhou;32.3912;119.4363;CN
Yibin;28.7596;104.64;CN
Jiangmen;22.5833;113.0833;CN
Johannesburg;-26.2044;28.0416;ZA
Meizhou;24.2998;116.1191;CN
Chifeng;42.2663;118.9223;CN
Casablanca;33.5992;-7.62;MA
Guiyang;26.5794;106.7078;CN
Langfang;39.5196;116.7006;CN
Zhangjiakou;40.8108;114.8811;CN
Izmir;38.4127;27.1384;TR
Linfen;36.0812;111.5087;CN
Wenzhou;27.9991;120.6561;CN
Monterrey;25.6667;-100.3;MX
Luzhou;28.8918;105.4409;CN
Jiangguanchi;34.0244;113.8201;CN
Neijiang;29.5872;105.0635;CN
Phoenix;33.5722;-112.0891;US
Yanjiang;30.1256;104.6397;CN
Yiyang;28.5833;112.3333;CN
Zhaoqing;23.047;112.465;CN
Hengshui;37.7348;115.686;CN
Guigang;23.0961;109.6092;CN
Xiaoxita;30.7083;111.2803;CN
Xiamen;24.4797;118.0819;CN
Chuzhou;32.3062;118.3115;CN
Fuzhou;27.9814;116.3577;CN
Amman;31.95;35.9333;JO
Jeddah;21.5428;39.1728;SA
Sialkot City;32.5;74.5333;PK
Huizhou;23.1115;114.4152;CN
Qingyuan;23.6842;113.0507;CN
Zhuzhou;27.8407;113.1469;CN
Wuhu;31.334;118.3622;CN
Hechi;23.0965;109.6091;CN
Seattle;47.6211;-122.3244;US
Loudi;27.7378;111.9974;CN
Binzhou;37.3806;118.0125;CN
Liuzhou;24.3181;109.4069;CN
Yokohama;35.4333;139.6333;JP
Baojishi;34.3609;107.1751;CN
Guang'an;30.4673;106.6336;CN
Hanzhong;33.0794;107.026;CN
Kabul;34.5328;69.1658;AF
Zaozhuang;34.8667;117.55;CN
Berlin;52.5167;13.3833;DE
Anshan;41.1066;122.9895;CN
Deyang;31.1289;104.395;CN
Lanzhou;36.0617;103.8318;CN
Chengde;40.9739;117.9322;CN
San Francisco;37.7562;-122.443;US
Puyang;35.7639;115.03;CN
Suining;30.5098;105.5737;CN
Jiaozuo;35.229;113.2304;CN
Bengbu;32.9354;117.3531;CN
Montreal;45.5089;-73.5617;CA
Detroit;42.3834;-83.1024;US
Baicheng;23.901;106.6194;CN
Busan;35.1;129.0403;KR
Algiers;36.7764;3.0586;DZ
Qincheng;34.5809;105.7311;CN
Taiyuan;37.8733;112.5425;CN
Lucknow;26.847;80.947;IN
Chaoyang;41.5757;120.4486;CN
Hechi;24.6928;108.085;CN
Leshan;29.5854;103.7575;CN
Yulinshi;38.2655;109.7388;CN
Siping;43.1715;124.3644;CN
Madrid;40.4189;-3.6919;ES
Jinan;36.6667;116.9833;CN
Shiyan;32.6351;110.7755;CN
Changzhi;36.1953;113.097;CN
San Diego;32.8312;-117.1225;US
Faisalabad;31.418;73.079;PK
Santa Cruz;-17.7892;-63.1975;BO
Bazhou;31.8576;106.7559;CN
Zhongshan;22.5333;113.35;CN
Zhenjiang;32.2109;119.4551;CN
Urumqi;43.825;87.6;CN
Tongliao;43.6172;122.264;CN
Heyuan;23.7503;114.6923;CN
Tongren;27.7233;109.1885;CN
Qinzhou;21.95;108.6167;CN
Jaipur;26.9167;75.8667;IN
Xinzhou;38.4178;112.7233;CN
Addis Ababa;9.0272;38.7369;ET
Giza;29.987;31.2118;EG
Meishan;30.0575;103.8381;CN
Brasilia;-15.7744;-48.0773;BR
Mashhad;36.3069;59.6042;IR
Jinzhou;41.1144;121.1292;CN
Tieling;42.2841;123.8365;CN
Shaoguan;24.8011;113.5927;CN
Shanwei;22.7664;115.3331;CN
Minneapolis;44.9635;-93.2678;US
Kyiv;50.45;30.5236;UA
Sanaa;15.35;44.2;YE
Quezon City;14.6333;121.0333;PH
Dingxi;35.5806;104.6263;CN
Salvador;-12.9708;-38.5108;BR
Incheon;37.4639;126.6486;KR
Bursa;40.1833;29.0667;TR
Ningde;26.6667;119.5167;CN
Tampa;27.9942;-82.4451;US
Daqing;46.5979;125.008;CN
Birmingham;52.48;-1.9025;GB
Putian;25.4394;119.0103;CN
Huzhou;30.8695;120.0958;CN
Wuzhou;23.4833;111.3167;CN
Denver;39.7621;-104.8759;US
Rome;41.8931;12.4828;IT
La Paz;-16.4942;-68.1475;BO
Pyongyang;39.03;125.73;KP
Kano;12;8.5167;NG
Taichung;24.15;120.6667;TW
Omdurman;15.6835;32.4629;SD
Zigong;29.3498;104.7645;CN
Qinhuangdao;39.9398;119.5881;CN
Mudanjiang;44.5861;129.5997;CN
Huludao;40.7094;120.8378;CN
Kaohsiung;22.6167;120.3;TW
Xiangtan;27.8431;112.9228;CN
Guayaquil;-2.1833;-79.8833;EC
Rizhao;35.4164;119.4331;CN
Manchester;53.4794;-2.2453;GB
Cawnpore;26.4725;80.3311;IN
Baotou;40.6562;109.8345;CN
Taipei;25.0478;121.5319;TW
Nanping;26.6448;118.1728;CN
Longyan;25.0881;117.0244;CN
Ibadan;7.3964;3.9167;NG
Hohhot;40.8151;111.6629;CN
Chaozhou;23.67;116.63;CN
Antananarivo;-18.9386;47.5214;MG
Longba;33.535;105.349;CN
Weihai;37.5;122.1;CN
Chattogram;22.335;91.8325;BD
Santo Domingo;18.4764;-69.8933;DO
Xuanzhou;30.9475;118.7518;CN
Sanming;26.2658;117.6302;CN
Brooklyn;40.6501;-73.9496;US
Medellin;6.2447;-75.5748;CO
Brisbane;-27.4678;153.0281;AU
Baoshan;25.1211;99.169;CN
Dubai;25.2697;55.3094;AE
Luohe;33.583;114.0109;CN
Qinbaling;35.7278;107.64;CN
Mirzapur;25.15;82.58;IN
Guangyuan;32.4353;105.8398;CN
Cali;3.44;-76.5197;CO
Daegu;35.8667;128.6;KR
Fortaleza;-3.7275;-38.5275;BR
Guatemala City;14.6099;-90.5252;GT
Yaounde;3.8578;11.5181;CM
Douala;4.05;9.7;CM
Jilin;43.85;126.55;CN
Lianshan;40.7503;120.83;CN
Lincang;23.8864;100.0871;CN
Antalya;36.9081;30.6956;TR
Tashkent;41.3;69.2667;UZ
Huangshi;30.2018;115.0326;CN
Bandung;-6.95;107.5667;ID
Nagpur;21.1539;79.0831;IN
Dandong;40.1167;124.3833;CN
Huainan;32.4831;117.0164;CN
Shangzhou;33.868;109.9244;CN
Bekasi;-6.2333;107;ID
Ghaziabad;28.6667;77.4167;IN
Tijuana;32.525;-117.0333;MX
Jiamusi;46.8081;130.3653;CN
Yangjiang;21.8556;111.9627;CN
Accra;5.6037;-0.187;GH
Yuxi;24.3495;102.5432;CN
Fushun;41.8708;123.8917;CN
Anshun;26.2456;105.934;CN
Vancouver;49.25;-123.1;CA
Tangerang;-6.1783;106.6319;ID
Konya;37.8714;32.4847;TR
Queens;40.7498;-73.7976;US
Yingkou;40.6653;122.2297;CN
Adana;37;35.325;TR
Medan;3.6667;98.6667;ID
Sanmenxia;34.7736;111.195;CN
Indore;22.7206;75.8472;IN
Ma'anshan;31.7135;118.3605;CN
Pingliang;35.5412;106.6819;CN
Quzhou;28.9545;118.8763;CN
Baku;40.3667;49.8352;AZ
Gaoping;30.7804;106.13;CN
Huaibei;33.9562;116.789;CN
Xining;36.6239;101.7787;CN
Yan'an;36.5952;109.4863;CN
Havana;23.1367;-82.3589;CU
Phnom Penh;11.5696;104.921;KH
Fukuoka;33.5903;130.4019;JP
Mogadishu;2.0408;45.3425;SO
Jincheng;35.4906;112.8483;CN
Lishui;28.45;119.9167;CN
Qingyang;24.8141;118.5792;CN
Riverside;33.9381;-117.3948;US
Baltimore;39.3051;-76.6144;US
Haiphong;20.8;106.6667;VN
Las Vegas;36.2333;-115.2654;US
Laibin;23.7333;109.2333;CN
Rawalpindi;33.6007;73.0679;PK
Kumasi;6.6833;-1.6167;GH
Portland;45.5372;-122.65;US
Vadodara;22.3;73.2;IN
Perth;-31.9522;115.8589;AU
Puning;23.2993;116.1586;CN
San Antonio;29.4658;-98.5253;US
Haikou;20.02;110.32;CN
Vishakhapatnam;17.7333;83.3167;IN
Gaziantep;37.0667;37.3833;TR
Minsk;53.9022;27.5618;BY
St. Louis;38.6358;-90.2451;US
Bamako;12.6458;-7.9922;ML
Quito;-0.2186;-78.5097;EC
Pingxiang;27.6333;113.85;CN
Chongzuo;22.4167;107.3667;CN
Sanliurfa;37.1583;38.7917;TR
Kananga;-5.897;22.4488;CD
Peshawar;34;71.5;PK
Sapporo;43.0621;141.3544;JP
Jixi;45.2937;130.965;CN
Caracas;10.5;-66.9333;VE
Fuxin;42.0127;121.6486;CN
Leeds;53.7997;-1.5492;GB
Sacramento;38.5667;-121.4683;US
Blantyre;-15.7861;35.0058;MW
Tainan;22.9833;120.1833;TW
Bucharest;44.4;26.0833;RO
Wuwei;37.9278;102.6329;CN
Bhopal;23.25;77.4167;IN
Curitiba;-25.4297;-49.2719;BR
Xiping;40.08;113.3;CN
Asuncion;-25.3;-57.6333;PY
Saidu Sharif;34.75;72.3572;PK
Vienna;48.2083;16.3731;AT
Aleppo;36.2;37.15;SY
Hamburg;53.55;10;DE
Meru;0.05;37.65;KE
Brazzaville;-4.2667;15.2833;CG
Orlando;28.4772;-81.3369;US
Mersin;36.8;34.6167;TR
Almaty;43.25;76.9;KZ
Barranquilla;10.96;-74.8;CO
Kyoto;35.0111;135.7669;JP
Manaus;-3.1;-60.0167;BR
Liaoyang;41.2643;123.1772;CN
Baiyin;36.5448;104.1766;CN
San Jose;37.3019;-121.8486;US
Warsaw;52.2167;21.0333;PL
Shengli;37.45;118.4667;CN
Lubumbashi;-11.6697;27.4581;CD
Damascus;33.5131;36.2919;SY
Shuyangzha;34.1299;118.7734;CN
Shangqiu;34.4504;115.65;CN
Esfahan;32.6447;51.6675;IR
Budapest;47.4983;19.0408;HU
Heihe;50.2458;127.4886;CN
Lusaka;-15.4167;28.2833;ZM
Diyarbakir;37.9108;40.2367;TR
Chinchvad;18.6278;73.8131;IN
Shuozhou;39.3408;112.4292;CN
Vitoria;-20.324;-40.366;BR
Cleveland;41.4767;-81.6804;US
Pittsburgh;40.4396;-79.9762;US
Mecca;21.4225;39.8261;SA
Patna;25.61;85.1414;IN
Mosul;36.3667;43.1167;IQ
Austin;30.3004;-97.7522;US
Sanzhou;30.82;108.4;CN
Conakry;9.5092;-13.7122;GN
Kampala;0.3136;32.5811;UG
Ecatepec;19.6097;-99.06;MX
Cincinnati;39.1413;-84.5061;US
Makassar;-5.1331;119.4136;ID
Yushan;31.3867;120.9766;CN
Ludhiana;30.9083;75.8486;IN
Newcastle;55.0077;-1.6578;GB
Depok;-6.394;106.8225;ID
Zhongli;24.965;121.2168;TW
Kansas City;39.1239;-94.5541;US
Rabat;34.0253;-6.8361;MA
Ouagadougou;12.3572;-1.5353;BF
Davao;7.0667;125.6;PH
Manhattan;40.7834;-73.9662;US
Semarang;-6.9667;110.4167;ID
Yinchuan;38.4795;106.2254;CN
Multan;30.1978;71.4711;PK
Caloocan City;14.65;120.9667;PH
Harare;-17.8292;31.0522;ZW
Novosibirsk;55.0333;82.9167;RU
Chengtangcun;35.0833;117.15;CN
Agra;27.18;78.02;IN
Karaj;35.8327;50.9915;IR
Indianapolis;39.7771;-86.1458;US
Jingdezhen;29.2942;117.2036;CN
Puebla;19.0333;-98.1833;MX
Kalyan;19.2502;73.1602;IN
Madurai;9.9197;78.1194;IN
Gujranwala;32.15;74.1833;PK
Benxi;41.292;123.761;CN
Jamshedpur;22.8;86.1833;IN
Zhuhai;22.2769;113.5678;CN
Recife;-8.0539;-34.8808;BR
Columbus;39.9862;-82.985;US
Tabriz;38.0833;46.2833;IR
Santiago;19.5;-70.67;DO
Maracaibo;10.6333;-71.6333;VE
Beihai;21.4667;109.1;CN
Shuangyashan;46.6388;131.1545;CN
Kobe;34.6913;135.183;JP
Charlotte;35.208;-80.8304;US
Yucheng;29.9888;103.0007;CN
Changshu;31.65;120.7333;CN
Ximeicun;24.9633;118.3811;CN
Jianguang;28.1958;115.7833;CN
Gwangju;35.1667;126.9167;KR
Xushan;30.1697;121.2665;CN
Guiping;23.4;110.0833;CN
Nasik;20;73.7833;IN
Porto Alegre;-30.0328;-51.23;BR
Zhangjiajie;29.1255;110.4844;CN
Valencia;10.1667;-68;VE
Virginia Beach;36.7335;-76.0435;US
Daejeon;36.351;127.385;KR
Munich;48.1372;11.5755;DE
Yekaterinburg;56.8356;60.6128;RU
Auckland;-36.85;174.7833;NZ
Yunfu;22.9242;112.0353;CN
Huangshan;29.7132;118.3151;CN
Huazhou;32.6832;112.079;CN
Shiraz;29.61;52.5425;IR
Leon de los Aldama;21.1167;-101.6833;MX
Pizhou;34.3422;118.0097;CN
Palembang;-2.9833;104.7644;ID
Kharkiv;50;36.2292;UA
Kawanakajima;35.53;139.705;JP
Lianjiang;21.6146;110.2794;CN
Chizhou;30.6583;117.4849;CN
Leizhou;20.9147;110.0806;CN
Guyuan;36.008;106.2782;CN
Rui'an;27.778;120.6526;CN
Birstall;52.6736;-1.12;GB
Muscat;23.6139;58.5922;OM
Hebi;35.7497;114.2887;CN
Jingling;30.6667;113.1667;CN
Bronx;40.8501;-73.8662;US
The Hague;52.08;4.27;NL
Owerri;5.4833;7.0333;NG
Sharjah;25.3575;55.3919;AE
Faridabad;28.4333;77.3167;IN
Ulaanbaatar;47.9203;106.9172;MN
Goiania;-16.6789;-49.2539;BR
Belem;-1.4558;-48.5039;BR
Kayseri;38.7333;35.4833;TR
Yueqing;28.1188;120.9621;CN
Belgrade;44.8167;20.4667;RS
Pingdu;36.7833;119.9556;CN
Aurangabad;19.88;75.32;IN
Yutan;28.3147;112.554;CN
Wenling;28.3797;121.3718;CN
Islamabad;33.6989;73.0369;PK
Milwaukee;43.0642;-87.9673;US
Milan;45.4669;9.19;IT
Sofia;42.6975;23.3241;BG
Adelaide;-34.9289;138.6011;AU
Samsun;41.2867;36.33;TR
Rajkot;22.2969;70.7984;IN
Khulna;22.8167;89.55;BD
Cordoba;-31.4167;-64.1833;AR
Guarulhos;-23.4667;-46.5333;BR
Juarez;31.7386;-106.487;MX
Prague;50.0833;14.4167;CZ
Montevideo;-34.8667;-56.1667;UY
Mbuji-Mayi;-6.1209;23.5967;CD
Fuqing;25.7232;119.3735;CN
Xintai;35.91;117.78;CN
Doha;25.3;51.5333;QA
Saitama;35.8617;139.6453;JP
Hiroshima;34.3853;132.4553;JP
Meerut;28.99;77.7;IN
Yushu;44.8249;126.5451;CN
Rongcheng;26.2312;104.0966;CN
Yangquan;37.8576;113.5762;CN
Haicheng;40.8523;122.7474;CN
Gaozhou;21.9392;110.8461;CN
Yingtan;28.2333;117;CN
Huaiyin;33.58;119.03;CN
Wuzhong;37.9874;106.1919;CN
Jabalpur;23.1667;79.9333;IN
Thane;19.18;72.9633;IN
Zhangye;38.9355;100.4553;CN
Rucheng;32.3852;120.5634;CN
Nizhniy Novgorod;56.3269;44.0075;RU
Comayaguela;14.0833;-87.2167;HN
Yangshe;31.8775;120.5512;CN
Shaoyang;32.9387;119.8404;CN
Dhanbad;23.7928;86.435;IN
Yichun;47.7235;128.8893;CN
Laiwu;36.1833;117.6667;CN
Kazan;55.7908;49.1144;RU
Dayan;26.8808;100.2208;CN
Suwon;37.2858;127.01;KR
Jiangyin;31.9087;120.2653;CN
Yongcheng;33.9317;116.4459;CN
Calgary;51.05;-114.0667;CA
Can Tho;10.0333;105.7833;VN
Abuja;9.0556;7.4914;NG
Yiwu;29.3081;120.0698;CN
Mandalay;21.9769;96.0869;MM
Beidao;34.6;105.92;CN
Al Basrah;30.4889;47.81;IQ
Shuangshui;26.5944;104.8333;CN
Sevilla;37.3828;-5.9731;ES
Vila Velha;3.2167;-51.2167;BR
Allahabad;25.455;81.84;IN
Varanasi;25.3189;83.0128;IN
Tunis;36.8008;10.18;TN
Chelyabinsk;55.15;61.4;RU
Mombasa;-4.05;39.6667;KE
Providence;41.823;-71.4187;US
Qom;34.6461;50.8789;IR
Maiduguri;11.8333;13.15;NG
Maputo;-25.9153;32.5764;MZ
Rosario;-32.9575;-60.6394;AR
Benin City;6.3176;5.6145;NG
Xinyu;27.795;114.9242;CN
Ahvaz;31.3203;48.6692;IR
Dublin;53.3425;-6.2658;IE
Jacksonville;30.3322;-81.6749;US
Medina;24.4667;39.6;SA
Srinagar;34.0911;74.8061;IN
Omsk;54.9667;73.3833;RU
Huazhou;21.654;110.6294;CN
Cilacap;-7.7167;109.017;ID
Xiantao;30.3833;113.4;CN
Bandar Lampung;-5.4294;105.2625;ID
Samara;53.1833;50.1167;RU
Guankou;28.1417;113.625;CN
Ulsan;35.55;129.3167;KR
Dingzhou;38.5158;114.9845;CN
Campinas;-22.9009;-47.0573;BR
Lianyuan;27.6961;111.6659;CN
Rongcheng;29.8239;112.9019;CN
Kaiyuan;36.0656;113.8153;CN
Nay Pyi Taw;19.8028;96.1583;MM
Dakar;14.7319;-17.4572;SN
Zhuji;29.7169;120.2314;CN
Zapopan;20.7167;-103.4;MX
Leiyang;26.4179;112.8457;CN
Dadukou;26.5849;101.7149;CN
Quetta;30.192;67.007;PK
Amritsar;31.6167;74.85;IN
Callao;-12.0611;-77.1333;PE
Aligarh;27.88;78.08;IN
Yingchuan;34.1511;113.4733;CN
Tegucigalpa;14.0942;-87.2067;HN
Ciudad Nezahualcoyotl;19.41;-99.03;MX
Tripoli;32.8752;13.1875;LY
Rostov;47.2333;39.7167;RU
Nezahualcoyotl;19.4;-98.9889;MX
Bhiwandi;19.3;73.0667;IN
Zhoushan;30.0162;122.0988;CN
Tbilisi;41.7225;44.7925;GE
Ufa;54.7333;55.9667;RU
Fes;34.0433;-5.0033;MA
Bien Hoa;10.9575;106.8426;VN
Mexicali;32.6633;-115.4678;MX
Gwalior;26.215;78.1931;IN
Ankang;32.6877;109.0235;CN
Ikare;7.5304;5.76;NG
Hegang;47.3139;130.2775;CN
Salt Lake City;40.7777;-111.9306;US
Bhilai;21.2167;81.4333;IN
Yuyao;30.0372;121.1546;CN
N'Djamena;12.11;15.05;TD
Hanchuan;30.652;113.8274;CN
Gongzhuling;43.5036;124.8088;CN
Copenhagen;55.6786;12.5635;DK
Irbid;32.5556;35.85;JO
Haora;22.59;88.31;IN
Cologne;50.9422;6.9578;DE
Krasnoyarsk;56.0167;92.8667;RU
Yicheng;31.3697;119.8239;CN
Mizhou;36;119.4167;CN
Nashville;36.1715;-86.7843;US
Yerevan;40.1814;44.5144;AM
Ranchi;23.3556;85.3347;IN
Nur-Sultan;51.1333;71.4333;KZ
Nouakchott;18.0783;-15.9744;MR
Vereeniging;-26.6736;27.9319;ZA
Richmond;37.5295;-77.4756;US
Sao Luis;-2.53;-44.3028;BR
San Pedro Sula;15.5;-88.0333;HN
Taixing;32.1724;120.0142;CN
Memphis;35.1046;-89.9773;US
Goyang;37.6564;126.835;KR
Bezwada;16.5167;80.6167;IN
Edmonton;53.5344;-113.4903;CA
Xishan;27.6609;113.4946;CN
Barquisimeto;10.0678;-69.3467;VE
Sendai;38.2683;140.8694;JP
Voronezh;51.6717;39.2106;RU
Perm;58.0139;56.2489;RU
Changwon;35.2281;128.6811;KR
Zhongwei;37.5139;105.1884;CN
Shouguang;36.8833;118.7333;CN
Bogor;-6.6;106.8;ID
Raleigh;35.8325;-78.6435;US
Cartagena;10.4236;-75.5253;CO
Chandigarh;30.7353;76.7911;IN
Bishkek;42.8667;74.5667;KG
Amsterdam;52.35;4.9166;NL
Matola;-25.9667;32.4667;MZ
Ogbomoso;8.1333;4.25;NG
Ashgabat;37.95;58.3833;TM
E'zhou;30.3972;114.8842;CN
Maceio;-9.6658;-35.735;BR
Niamey;13.5086;2.1111;NE
Managua;12.15;-86.2667;NI
Patam;1.0678;104.0167;ID
Tekirdag;40.9833;27.5167;TR
Linhai;28.8523;121.1409;CN
Shubra al Khaymah;30.1286;31.2422;EG
Monrovia;6.3106;-10.8047;LR
Wafangdian;39.6271;121.9972;CN
Zhongxiang;31.169;112.5853;CN
Shymkent;42.3;69.6;KZ
New Orleans;30.0687;-89.9288;US
Volgograd;48.7;44.4833;RU
Port-au-Prince;18.5425;-72.3386;HT
Mysore;12.3086;76.6531;IN
Odesa;46.4775;30.7326;UA
Kathmandu;27.7167;85.3667;NP
Raipur;21.2379;81.6337;IN
Nice;43.7034;7.2663;FR
Arequipa;-16.3988;-71.5369;PE
Port Harcourt;4.75;7;NG
Rotterdam;51.92;4.48;NL
Louisville;38.1663;-85.6485;US
Zaoyang;32.1287;112.7581;CN
Shuizhai;33.4433;114.8994;CN
Kota;25.18;75.83;IN
Abu Dhabi;24.4781;54.3686;AE
Stockholm;59.3294;18.0686;SE
Ottawa;45.4247;-75.695;CA
Asmara;15.3333;38.9167;ER
Freetown;8.4833;-13.2331;SL
Jerusalem;31.7833;35.2167;IL
Panama City;9;-79.5;PA
Lome;6.1319;1.2228;TG
Libreville;0.3901;9.4544;GA
Zagreb;45.8;15.95;HR
Dushanbe;38.5731;68.7864;TJ
Lilongwe;-13.9833;33.7833;MW
Cotonou;6.4;2.52;BJ
Vientiane;17.9667;102.6;LA
Colombo;6.9167;79.8333;LK
Kigali;-1.9536;30.0606;RW
Pretoria;-25.7464;28.1881;ZA
Bangui;4.3732;18.5628;CF
Winnipeg;49.8844;-97.1464;CA
Quebec City;46.8139;-71.2081;CA
Riga;56.9475;24.1069;LV
Oslo;59.9111;10.7528;NO
Chisinau;47.0056;28.8575;MD
Athens;37.9794;23.7161;GR
Bujumbura;-3.3825;29.3611;BI
Helsinki;60.1756;24.9342;FI
Skopje;41.9833;21.4333;MK
